Employee ID,Email Address,Name,First Name,Last Name,Job Level,Job Title,Is Manager,Office Location,Start Date,Gender,Department,Manager Employee ID,
521,mariah.fuller@intervieworg.com,Mariah G. Fuller,Mariah,Fuller,3,Sales / Libya Manager-ⅠⅠⅠ,TRUE,Paris,9/5/16,female,Sales / Libya,105,
1423,bishop.bryan@intervieworg.com,Bishop S. Bryan,Bishop,Bryan,3,Residential Architecture Manager-ⅠⅠⅠ,TRUE,Paris,11/18/17,male,Residential Architecture,36,
3879,dallas.lin@intervieworg.com,Dallas B. Lin,Dallas,Lin,6,Staff Architect,FALSE,Paris,2/9/11,male,Industrial Architecture,1512,
2203,oakley.larsen@intervieworg.com,Oakley C. Larsen,Oakley,Larsen,6,Commercial Architecture Manager-ⅤⅠ,TRUE,Paris,7/27/09,male,Commercial Architecture,3432,
708,aiden.bernard@intervieworg.com,Aiden H. Bernard,Aiden,Bernard,1,Account Manager-Ⅰ,FALSE,Paris,6/27/16,male,Sales / Libya,3598,
2462,jewel.copeland@intervieworg.com,Jewel H. Copeland,Jewel,Copeland,1,Account Manager-Ⅰ,FALSE,Paris,2/10/17,female,Sales / Lugash,3938,
3734,braelyn.cummings@intervieworg.com,Braelyn G. Cummings,Braelyn,Cummings,4,Compliance Officer-IV,TRUE,Paris,6/4/16,,Building Safety,1476,
2756,kannon.best@intervieworg.com,Kannon R. Best,Kannon,Best,6,Staff Account Manager,FALSE,Paris,12/14/08,male,Sales / Belgium,3921,
1576,angel.mcpherson@intervieworg.com,Angel L. Mcpherson,Angel,Mcpherson,5,Senior Compliance Officer,FALSE,Paris,6/7/16,female,Building Safety,1453,
2136,joanna.love@intervieworg.com,Joanna B. Love,Joanna,Love,6,Staff Architect,FALSE,Paris,1/29/17,,Commercial Architecture,2087,
2907,kathryn.gardner@intervieworg.com,Kathryn Y. Gardner,Kathryn,Gardner,2,Account Manager-ⅠⅠ,FALSE,Paris,7/21/17,,Sales / UK,2030,
694,nico.pittman@intervieworg.com,Nico K. Pittman,Nico,Pittman,11,Senior Fellow Architect,TRUE,Paris,2/28/09,,Design,1911,
345,raven.mooney@intervieworg.com,Raven S. Mooney,Raven,Mooney,5,Senior Architect,FALSE,Paris,12/29/17,female,Residential Architecture,2554,
576,kelly.holland@intervieworg.com,Kelly W. Holland,Kelly,Holland,3,Sales / Argentina Manager-ⅠⅠⅠ,TRUE,Paris,3/14/15,female,Sales / Argentina,2612,
2503,graham.elliott@intervieworg.com,Graham F. Elliott,Graham,Elliott,6,Staff Account Manager,FALSE,Paris,1/19/12,male,Sales / Canada,76,
2836,kellan.howard@intervieworg.com,Kellan C. Howard,Kellan,Howard,5,Senior Account Manager,FALSE,Paris,12/23/08,male,Sales / Argentina,872,
3152,rosie.alvarez@intervieworg.com,Rosie B. Alvarez,Rosie,Alvarez,6,Staff Architect,FALSE,Paris,3/8/14,,Industrial Architecture,580,
1555,angeline.reese@intervieworg.com,Angeline H. Reese,Angeline,Reese,2,Residential Architecture Manager-ⅠⅠ,TRUE,Paris,6/24/15,female,Residential Architecture,489,
2349,aurora.hughes@intervieworg.com,Aurora U. Hughes,Aurora,Hughes,6,Staff Account Manager,FALSE,Mountain View,11/28/09,female,Sales / Russia,2170,
2419,achilles.ali@intervieworg.com,Achilles A. Ali,Achilles,Ali,2,Account Manager-ⅠⅠ,FALSE,Mountain View,12/27/14,,Sales / Russia,3490,
1243,ronald.odonnell@intervieworg.com,Ronald Y. Odonnell,Ronald,Odonnell,6,Staff Architect,FALSE,Paris,3/20/16,,Industrial Architecture,2813,
3271,sloan.strong@intervieworg.com,Sloan M. Strong,Sloan,Strong,4,Architect-IV,FALSE,Paris,7/14/13,female,Residential Architecture,2120,
3743,kannon.rush@intervieworg.com,Kannon R. Rush,Kannon,Rush,6,Staff Account Manager,FALSE,Paris,12/15/09,male,Sales / Elbonia,1007,
1787,chevy.cameron@intervieworg.com,Chevy J. Cameron,Chevy,Cameron,6,Residential Architecture Manager-ⅤⅠ,TRUE,Paris,9/24/10,,Residential Architecture,3361,
772,sylvia.sparks@intervieworg.com,Sylvia G. Sparks,Sylvia,Sparks,6,Sales / Lugash Manager-ⅤⅠ,TRUE,Paris,2/11/13,female,Sales / Lugash,1069,
23,archer.humphrey@intervieworg.com,Archer S. Humphrey,Archer,Humphrey,5,Sales / Saudi Arabia Manager-Ⅴ,TRUE,Paris,1/12/18,,Sales / Saudi Arabia,2976,
3367,santos.meyers@intervieworg.com,Santos G. Meyers,Santos,Meyers,5,Senior Account Manager,FALSE,Paris,11/25/15,male,Sales / Elbonia,162,
256,lailah.lee@intervieworg.com,Lailah C. Lee,Lailah,Lee,6,Residential Architecture Manager-ⅤⅠ,TRUE,Paris,12/10/07,female,Residential Architecture,494,
715,aydin.moses@intervieworg.com,Aydin Z. Moses,Aydin,Moses,5,Sales / Lugash Manager-Ⅴ,TRUE,Paris,5/14/15,male,Sales / Lugash,1356,
327,clarissa.briggs@intervieworg.com,Clarissa J. Briggs,Clarissa,Briggs,1,Residential Architecture Manager-Ⅰ,TRUE,Paris,3/12/18,female,Residential Architecture,3982,
3797,kelvin.dorsey@intervieworg.com,Kelvin W. Dorsey,Kelvin,Dorsey,6,Staff Account Manager,FALSE,Mountain View,6/10/11,,Sales / Russia,1256,
2353,rhys.gray@intervieworg.com,Rhys J. Gray,Rhys,Gray,8,Principal Account Manager,TRUE,Paris,9/1/02,male,Sales / Libya,3543,
1251,steve.flynn@intervieworg.com,Steve X. Flynn,Steve,Flynn,2,Account Manager-ⅠⅠ,FALSE,Paris,2/25/18,,Sales / Lugash,241,
784,liam.cisneros@intervieworg.com,Liam T. Cisneros,Liam,Cisneros,3,Account Manager-ⅠⅠⅠ,FALSE,Paris,9/22/12,male,Sales / Argentina,1998,
2903,malakai.padilla@intervieworg.com,Malakai C. Padilla,Malakai,Padilla,6,Sales / Canada Manager-ⅤⅠ,TRUE,Paris,12/23/16,,Sales / Canada,1652,
1324,kristen.booth@intervieworg.com,Kristen B. Booth,Kristen,Booth,8,Commercial Architecture Director,TRUE,Beijing,3/2/15,female,Commercial Architecture,1700,
2214,zander.hahn@intervieworg.com,Zander R. Hahn,Zander,Hahn,2,Sales / Libya Manager-ⅠⅠ,TRUE,Paris,4/6/14,male,Sales / Libya,3919,
988,lola.foley@intervieworg.com,Lola C. Foley,Lola,Foley,5,Building Safety Manager-Ⅴ,TRUE,Paris,1/11/18,,Building Safety,3415,
3190,joshua.stanton@intervieworg.com,Joshua A. Stanton,Joshua,Stanton,5,Senior Account Manager,FALSE,Paris,3/9/11,,Sales / Canada,3420,
2865,gerardo.jacobs@intervieworg.com,Gerardo V. Jacobs,Gerardo,Jacobs,5,Residential Architecture Manager-Ⅴ,TRUE,Paris,10/29/14,male,Residential Architecture,2129,
1756,evelynn.duran@intervieworg.com,Evelynn U. Duran,Evelynn,Duran,5,Senior Account Manager,FALSE,Paris,2/21/09,female,Sales / Saudi Arabia,2976,
2703,aitana.dudley@intervieworg.com,Aitana K. Dudley,Aitana,Dudley,4,Architect-IV,FALSE,Paris,5/30/11,female,Residential Architecture,1056,
2379,rhea.douglas@intervieworg.com,Rhea M. Douglas,Rhea,Douglas,5,Senior Compliance Officer,FALSE,Paris,9/21/13,female,Public Policy,1065,
2885,jefferson.nunez@intervieworg.com,Jefferson H. Nunez,Jefferson,Nunez,5,Senior Account Manager,FALSE,Paris,9/26/10,male,Sales / Egypt,2524,
224,xavier.hopkins@intervieworg.com,Xavier K. Hopkins,Xavier,Hopkins,6,Staff Compliance Officer,FALSE,Paris,3/20/08,,Building Safety,3872,
1149,charlee.fuentes@intervieworg.com,Charlee F. Fuentes,Charlee,Fuentes,2,Account Manager-ⅠⅠ,TRUE,Paris,2/9/16,female,Sales / Saudi Arabia,3516,
3209,camryn.moses@intervieworg.com,Camryn S. Moses,Camryn,Moses,2,Architect-ⅠⅠ,FALSE,Paris,10/25/14,female,Industrial Architecture,449,
992,nickolas.chang@intervieworg.com,Nickolas A. Chang,Nickolas,Chang,5,Senior Account Manager,FALSE,Paris,2/24/10,male,Sales / Italy,321,
273,adelaide.walton@intervieworg.com,Adelaide O. Walton,Adelaide,Walton,5,Senior Account Manager,FALSE,Paris,6/18/14,female,Sales / Libya,3583,
3322,amaya.franklin@intervieworg.com,Amaya B. Franklin,Amaya,Franklin,2,Account Manager-ⅠⅠ,FALSE,Paris,10/2/14,female,Sales / Belgium,173,
3146,sandra.greer@intervieworg.com,Sandra K. Greer,Sandra,Greer,5,Senior Compliance Officer,FALSE,Paris,12/10/10,female,Public Policy,1147,
2290,brayden.fletcher@intervieworg.com,Brayden B. Fletcher,Brayden,Fletcher,9,Senior Director of Sales / Saudi Arabia,TRUE,Paris,7/29/08,,Sales / Saudi Arabia,3543,
1345,bradley.farley@intervieworg.com,Bradley P. Farley,Bradley,Farley,4,Account Manager-IV,TRUE,Cairo,2/15/18,male,Sales / Elbonia,2398,
2443,clara.conley@intervieworg.com,Clara Z. Conley,Clara,Conley,5,Senior Account Manager,TRUE,Paris,10/23/15,female,Sales / Belgium,508,
1145,kimberly.baird@intervieworg.com,Kimberly G. Baird,Kimberly,Baird,2,Architect-ⅠⅠ,FALSE,Paris,5/19/15,female,Residential Architecture,2409,
485,camilo.cabrera@intervieworg.com,Camilo M. Cabrera,Camilo,Cabrera,6,Staff Architect,FALSE,Paris,2/9/11,male,Residential Architecture,2528,
3591,travis.cooper@intervieworg.com,Travis C. Cooper,Travis,Cooper,5,Sales / Libya Manager-Ⅴ,TRUE,Paris,7/5/09,,Sales / Libya,1616,
2148,chandler.carney@intervieworg.com,Chandler D. Carney,Chandler,Carney,6,Staff Account Manager,FALSE,Cairo,4/15/09,male,Sales / Elbonia,1260,
2435,mira.lynch@intervieworg.com,Mira A. Lynch,Mira,Lynch,9,Senior Director of Sales / Lugash,TRUE,Paris,11/8/05,female,Sales / Lugash,3351,
460,joanna.luna@intervieworg.com,Joanna K. Luna,Joanna,Luna,5,Senior Account Manager,FALSE,Cairo,1/12/18,female,Sales / Elbonia,1220,
1736,sloane.bailey@intervieworg.com,Sloane H. Bailey,Sloane,Bailey,5,Commercial Architecture Manager-Ⅴ,TRUE,Paris,10/14/15,female,Commercial Architecture,2228,
2480,deshawn.johns@intervieworg.com,Deshawn C. Johns,Deshawn,Johns,5,Senior Account Manager,FALSE,Paris,10/12/14,male,Sales / Saudi Arabia,3551,
2904,orion.parker@intervieworg.com,Orion G. Parker,Orion,Parker,2,Architect-ⅠⅠ,FALSE,Paris,6/27/16,male,Commercial Architecture,585,
1463,arlo.morton@intervieworg.com,Arlo J. Morton,Arlo,Morton,5,Residential Architecture Manager-Ⅴ,TRUE,Paris,3/13/11,male,Residential Architecture,1660,
3145,brock.fox@intervieworg.com,Brock G. Fox,Brock,Fox,5,Industrial Architecture Manager-Ⅴ,TRUE,Paris,10/22/16,male,Industrial Architecture,2332,
1474,kylan.dickerson@intervieworg.com,Kylan K. Dickerson,Kylan,Dickerson,5,Sales / Saudi Arabia Manager-Ⅴ,TRUE,Paris,9/19/08,male,Sales / Saudi Arabia,1520,
1544,jay.garner@intervieworg.com,Jay L. Garner,Jay,Garner,2,Account Manager-ⅠⅠ,FALSE,Paris,11/18/15,male,Sales / Libya,2372,
1899,ernesto.stark@intervieworg.com,Ernesto T. Stark,Ernesto,Stark,6,Staff Architect,FALSE,Beijing,5/1/06,,Commercial Architecture,2906,
1395,damon.wilcox@intervieworg.com,Damon T. Wilcox,Damon,Wilcox,5,Senior Account Manager,FALSE,Paris,1/10/10,male,Sales / Lugash,3298,
3061,kathleen.waters@intervieworg.com,Kathleen K. Waters,Kathleen,Waters,6,Staff Compliance Officer,FALSE,Paris,3/26/07,,Public Policy,2506,
2224,nyla.nicholson@intervieworg.com,Nyla L. Nicholson,Nyla,Nicholson,1,Account Manager-Ⅰ,FALSE,Paris,6/22/17,female,Sales / Lugash,3514,
1989,shaun.cabrera@intervieworg.com,Shaun P. Cabrera,Shaun,Cabrera,3,Account Manager-ⅠⅠⅠ,FALSE,Paris,4/24/15,male,Sales / Mexico,1391,
2447,kristina.jackson@intervieworg.com,Kristina A. Jackson,Kristina,Jackson,4,Account Manager-IV,FALSE,Paris,10/16/13,female,Sales / Mexico,1590,
3668,kara.galloway@intervieworg.com,Kara F. Galloway,Kara,Galloway,5,Senior Compliance Officer,FALSE,Paris,12/31/10,,Public Policy,2960,
763,jayleen.parks@intervieworg.com,Jayleen D. Parks,Jayleen,Parks,5,Senior Compliance Officer,FALSE,Paris,2/16/18,,Building Safety,571,
3104,augustus.hale@intervieworg.com,Augustus Q. Hale,Augustus,Hale,5,Senior Compliance Officer,FALSE,Paris,1/1/13,,Building Safety,1675,
3074,odin.medina@intervieworg.com,Odin N. Medina,Odin,Medina,5,Senior Architect,FALSE,Paris,3/27/15,male,Residential Architecture,419,
52,michelle.bowman@intervieworg.com,Michelle J. Bowman,Michelle,Bowman,5,Senior Architect,FALSE,Beijing,2/12/16,,Commercial Architecture,882,
1932,adelyn.charles@intervieworg.com,Adelyn S. Charles,Adelyn,Charles,6,Staff Architect,TRUE,Paris,2/5/11,female,Commercial Architecture,888,
526,crosby.pittman@intervieworg.com,Crosby I. Pittman,Crosby,Pittman,2,Sales / Germany Manager-ⅠⅠ,TRUE,Mountain View,5/4/17,,Sales / Germany,470,
368,mara.wilkerson@intervieworg.com,Mara E. Wilkerson,Mara,Wilkerson,9,Senior Director of Residential Architecture,TRUE,Paris,3/3/04,,Residential Architecture,3402,
2864,julien.hamilton@intervieworg.com,Julien H. Hamilton,Julien,Hamilton,1,Architect-Ⅰ,FALSE,Paris,4/23/16,male,Industrial Architecture,2132,
2640,mario.fleming@intervieworg.com,Mario Y. Fleming,Mario,Fleming,6,Staff Architect,FALSE,Paris,3/21/08,,Industrial Architecture,1045,
162,dahlia.mendoza@intervieworg.com,Dahlia V. Mendoza,Dahlia,Mendoza,7,Sales / Elbonia Manager-ⅤⅠⅠ,TRUE,Paris,3/28/07,female,Sales / Elbonia,1991,
2570,amy.harrington@intervieworg.com,Amy U. Harrington,Amy,Harrington,5,Senior Compliance Officer,FALSE,Paris,4/1/16,female,Public Policy,1415,
3283,patrick.oneill@intervieworg.com,Patrick U. Oneill,Patrick,Oneill,5,Senior Compliance Officer,FALSE,Paris,1/6/13,male,Public Policy,674,
1526,kian.wade@intervieworg.com,Kian O. Wade,Kian,Wade,6,Staff Architect,FALSE,Paris,9/11/11,,Commercial Architecture,3221,
619,zachary.evans@intervieworg.com,Zachary U. Evans,Zachary,Evans,3,Industrial Architecture Manager-ⅠⅠⅠ,TRUE,Paris,11/20/15,,Industrial Architecture,768,
624,emersyn.wade@intervieworg.com,Emersyn W. Wade,Emersyn,Wade,2,Account Manager-ⅠⅠ,FALSE,Paris,4/4/15,,Sales / Lugash,2285,
832,aubrielle.hernandez@intervieworg.com,Aubrielle Q. Hernandez,Aubrielle,Hernandez,5,Industrial Architecture Manager-Ⅴ,TRUE,Paris,7/14/10,,Industrial Architecture,1340,
3969,antoine.short@intervieworg.com,Antoine M. Short,Antoine,Short,2,Architect-ⅠⅠ,FALSE,Paris,11/12/17,male,Residential Architecture,1112,
323,jaziel.rich@intervieworg.com,Jaziel E. Rich,Jaziel,Rich,6,Staff Compliance Officer,TRUE,Paris,9/29/11,male,Building Safety,1098,
297,jorge.frank@intervieworg.com,Jorge A. Frank,Jorge,Frank,2,Residential Architecture Manager-ⅠⅠ,TRUE,Paris,4/30/14,male,Residential Architecture,1245,
1300,caylee.livingston@intervieworg.com,Caylee D. Livingston,Caylee,Livingston,5,Senior Account Manager,FALSE,Paris,5/21/17,,Sales / Lugash,835,
2439,vihaan.howe@intervieworg.com,Vihaan L. Howe,Vihaan,Howe,2,Compliance Officer-ⅠⅠ,FALSE,Paris,4/13/14,male,Public Policy,111,
1500,jordan.sampson@intervieworg.com,Jordan Z. Sampson,Jordan,Sampson,6,Staff Account Manager,FALSE,Paris,10/13/07,female,Sales / Lugash,1912,
1361,danny.rush@intervieworg.com,Danny X. Rush,Danny,Rush,3,Commercial Architecture Manager-ⅠⅠⅠ,TRUE,Paris,8/2/17,male,Commercial Architecture,3012,
2661,nikolas.hatfield@intervieworg.com,Nikolas R. Hatfield,Nikolas,Hatfield,2,Architect-ⅠⅠ,TRUE,Paris,8/12/14,male,Residential Architecture,2079,
2211,chaim.duffy@intervieworg.com,Chaim Z. Duffy,Chaim,Duffy,2,Account Manager-ⅠⅠ,FALSE,Cairo,7/2/15,male,Sales / Elbonia,846,
673,darren.french@intervieworg.com,Darren N. French,Darren,French,3,Account Manager-ⅠⅠⅠ,FALSE,Mountain View,4/25/14,male,Sales / Germany,1239,
1017,abby.braun@intervieworg.com,Abby C. Braun,Abby,Braun,3,Architect-ⅠⅠⅠ,FALSE,Paris,6/24/12,female,Residential Architecture,3008,
3309,jayde.riddle@intervieworg.com,Jayde C. Riddle,Jayde,Riddle,3,Compliance Officer-ⅠⅠⅠ,FALSE,Paris,8/20/17,,Public Policy,1738,
3942,kyree.wilkins@intervieworg.com,Kyree F. Wilkins,Kyree,Wilkins,3,Compliance Officer-ⅠⅠⅠ,TRUE,Paris,1/27/15,male,Building Safety,999,
1370,juan.monroe@intervieworg.com,Juan A. Monroe,Juan,Monroe,2,Sales / Libya Manager-ⅠⅠ,TRUE,Paris,4/29/15,,Sales / Libya,357,
1101,nathaly.cannon@intervieworg.com,Nathaly Z. Cannon,Nathaly,Cannon,5,Senior Account Manager,FALSE,Paris,7/24/08,female,Sales / Lugash,1356,
2063,,Serena X. Andersen,Serena,Andersen,9,Senior Director of Residential Architecture,TRUE,Paris,11/17/00,female,Residential Architecture,3356,
907,trent.lin@intervieworg.com,Trent R. Lin,Trent,Lin,6,Staff Architect,FALSE,Paris,11/15/10,male,Residential Architecture,2450,
827,kash.duran@intervieworg.com,Kash Z. Duran,Kash,Duran,5,Senior Account Manager,FALSE,Paris,11/10/11,male,Sales / Lugash,267,
1231,ariyah.armstrong@intervieworg.com,Ariyah P. Armstrong,Ariyah,Armstrong,1,Residential Architecture Manager-Ⅰ,TRUE,Paris,7/16/16,female,Residential Architecture,2608,
154,liv.perkins@intervieworg.com,Liv Y. Perkins,Liv,Perkins,3,Compliance Officer-ⅠⅠⅠ,FALSE,Paris,11/26/15,,Public Policy,2195,
785,taya.gamble@intervieworg.com,Taya X. Gamble,Taya,Gamble,5,Senior Account Manager,FALSE,Paris,1/4/10,female,Sales / Lugash,267,
2207,caylee.gill@intervieworg.com,Caylee U. Gill,Caylee,Gill,2,Account Manager-ⅠⅠ,FALSE,Paris,8/4/17,female,Sales / Lugash,3456,
3777,,Dominik E. Krause,Dominik,Krause,6,Staff Architect,FALSE,Paris,8/7/06,,Industrial Architecture,1763,
529,kimber.cooley@intervieworg.com,Kimber H. Cooley,Kimber,Cooley,3,Compliance Officer-ⅠⅠⅠ,FALSE,Paris,11/5/16,female,Public Policy,3844,
2797,jaziel.henson@intervieworg.com,Jaziel B. Henson,Jaziel,Henson,6,Staff Compliance Officer,FALSE,Paris,10/10/10,male,Public Policy,2213,
3426,ignacio.fox@intervieworg.com,Ignacio S. Fox,Ignacio,Fox,5,Senior Account Manager,FALSE,Paris,2/8/17,,Sales / Mexico,1743,
1237,abdiel.contreras@intervieworg.com,Abdiel T. Contreras,Abdiel,Contreras,5,Senior Account Manager,FALSE,Paris,8/16/10,,Sales / Egypt,291,
222,mina.ortiz@intervieworg.com,Mina F. Ortiz,Mina,Ortiz,5,Public Policy Manager-Ⅴ,TRUE,Paris,4/18/13,female,Public Policy,1488,
3006,harley.cunningham@intervieworg.com,Harley T. Cunningham,Harley,Cunningham,6,Staff Architect,FALSE,Paris,8/21/16,male,Residential Architecture,2489,
1956,chandler.gould@intervieworg.com,Chandler G. Gould,Chandler,Gould,6,Staff Architect,FALSE,Paris,5/18/09,male,Residential Architecture,2515,
2752,saige.raymond@intervieworg.com,Saige C. Raymond,Saige,Raymond,5,Senior Account Manager,TRUE,Paris,3/3/09,female,Sales / Egypt,490,
3219,sky.charles@intervieworg.com,Sky F. Charles,Sky,Charles,6,Staff Architect,FALSE,Paris,5/25/13,female,Commercial Architecture,1387,
187,angelica.ritter@intervieworg.com,Angelica P. Ritter,Angelica,Ritter,5,Senior Account Manager,FALSE,Mountain View,7/17/09,,Sales / Russia,3736,
1277,rashad.obrien@intervieworg.com,Rashad Q. Obrien,Rashad,Obrien,6,Staff Architect,FALSE,Paris,10/27/16,,Commercial Architecture,1236,
634,sarai.hall@intervieworg.com,Sarai D. Hall,Sarai,Hall,6,Staff Compliance Officer,FALSE,Paris,2/18/15,,Building Safety,339,
1335,ameer.burch@intervieworg.com,Ameer K. Burch,Ameer,Burch,6,Staff Architect,FALSE,Paris,5/6/12,male,Industrial Architecture,768,
2495,aiyana.velazquez@intervieworg.com,Aiyana X. Velazquez,Aiyana,Velazquez,6,Staff Account Manager,FALSE,Paris,2015-12-26,female,Sales / Lugash,3862,
3281,weston.horne@intervieworg.com,Weston W. Horne,Weston,Horne,1,Account Manager-Ⅰ,FALSE,Paris,8/8/16,,Sales / Mexico,3417,
50,silas.butler@intervieworg.com,Silas S. Butler,Silas,Butler,5,Senior Account Manager,FALSE,Paris,2/17/18,male,Sales / US,2223,
165,jaxen.baxter@intervieworg.com,Jaxen J. Baxter,Jaxen,Baxter,3,Architect-ⅠⅠⅠ,FALSE,Paris,7/26/16,,Industrial Architecture,3346,
1628,alex.gutierrez@intervieworg.com,Alex L. Gutierrez,Alex,Gutierrez,3,Architect-ⅠⅠⅠ,FALSE,Paris,11/1/16,male,Industrial Architecture,3615,
2990,valentino.mclean@intervieworg.com,Valentino E. Mclean,Valentino,Mclean,5,Senior Account Manager,FALSE,Paris,10/4/11,male,Sales / Libya,1616,
1364,alexa.spears@intervieworg.com,Alexa E. Spears,Alexa,Spears,2,Commercial Architecture Manager-ⅠⅠ,TRUE,Beijing,1/4/18,female,Commercial Architecture,3511,
2601,hadleigh.allen@intervieworg.com,Hadleigh J. Allen,Hadleigh,Allen,5,Sales / Lugash Manager-Ⅴ,TRUE,Paris,1/23/15,female,Sales / Lugash,1523,
65,alessandro.lucas@intervieworg.com,Alessandro M. Lucas,Alessandro,Lucas,5,Senior Account Manager,FALSE,Paris,3/25/16,,Sales / Libya,2094,
1542,selena.porter@intervieworg.com,Selena Z. Porter,Selena,Porter,5,Senior Architect,FALSE,Paris,9/9/12,female,Commercial Architecture,3055,
3634,shiloh.munoz@intervieworg.com,Shiloh Q. Munoz,Shiloh,Munoz,5,Senior Architect,TRUE,New York,5/31/16,female,Industrial Architecture,1127,
1840,hallie.orozco@intervieworg.com,Hallie D. Orozco,Hallie,Orozco,5,Senior Architect,FALSE,Paris,11/21/12,female,Residential Architecture,1560,
3014,alice.bennett@intervieworg.com,Alice A. Bennett,Alice,Bennett,3,Account Manager-ⅠⅠⅠ,TRUE,Paris,6/4/16,female,Sales / Mexico,2092,
1847,sariyah.mills@intervieworg.com,Sariyah S. Mills,Sariyah,Mills,5,Senior Architect,FALSE,Paris,6/18/15,female,Residential Architecture,663,
108,carmen.fritz@intervieworg.com,Carmen V. Fritz,Carmen,Fritz,6,Staff Architect,FALSE,Paris,5/24/10,female,Residential Architecture,359,
560,terrell.lozano@intervieworg.com,Terrell D. Lozano,Terrell,Lozano,6,Residential Architecture Manager-ⅤⅠ,TRUE,Paris,10/2/14,,Residential Architecture,2450,
3008,victor.golden@intervieworg.com,Victor I. Golden,Victor,Golden,3,Residential Architecture Manager-ⅠⅠⅠ,TRUE,Paris,3/4/17,,Residential Architecture,3359,
1297,castiel.santana@intervieworg.com,Castiel E. Santana,Castiel,Santana,6,Staff Account Manager,FALSE,Cairo,3/8/16,male,Sales / Elbonia,2250,
80,jonathan.nicholson@intervieworg.com,Jonathan Y. Nicholson,Jonathan,Nicholson,1,Compliance Officer-Ⅰ,FALSE,Paris,4/11/16,male,Public Policy,276,
3494,beckham.delgado@intervieworg.com,Beckham I. Delgado,Beckham,Delgado,1,Building Safety Manager-Ⅰ,TRUE,Paris,5/26/16,male,Building Safety,2571,
568,elliana.chambers@intervieworg.com,Elliana W. Chambers,Elliana,Chambers,6,Staff Architect,FALSE,Paris,1/13/11,female,Residential Architecture,2528,
